lat,lon
-22.375, -55.125
-22.375, -54.875
-22.375, -54.625
-22.375, -54.375
-22.375, -54.125
-22.375, -53.875
-22.375, -53.625
-22.375, -53.375
-22.375, -53.125
-22.375, -52.875
-22.375, -52.625
-22.375, -52.375
-22.375, -52.125
-22.375, -51.875
-22.375, -51.625
-22.375, -51.375
-22.375, -51.125
-22.375, -50.875
-22.375, -50.625
-22.375, -50.375
-22.375, -50.125
-22.375, -49.875
-22.375, -49.625
-22.375, -49.375
-22.375, -49.125
-22.375, -48.875
-22.375, -48.625
-22.375, -48.375
-22.375, -48.125
-22.375, -47.875
-22.375, -47.625
-22.375, -47.375
-22.375, -47.125
-22.375, -46.875
-22.375, -46.625
-22.375, -46.375
-22.375, -46.125
-22.375, -45.875
-22.375, -45.625
-22.375, -45.375
-22.375, -45.125
-22.375, -44.875
-22.375, -44.625
-22.375, -44.375
-22.375, -44.125
-22.375, -43.875
-22.375, -43.625
-22.375, -43.375
-22.375, -43.125
-22.375, -42.875
-22.375, -42.625
-22.375, -42.375
-22.375, -42.125
-22.375, -41.875
-22.125, -58.625
-22.125, -58.375
-22.125, -58.125
-22.125, -57.875
-22.125, -57.625
-22.125, -57.375
-22.125, -57.125
-22.125, -56.875
-22.125, -56.625
-22.125, -55.875
-22.125, -55.625
-22.125, -55.375
-22.125, -55.125
-22.125, -54.875
-22.125, -54.625
-22.125, -54.375
-22.125, -54.125
-22.125, -53.875
-22.125, -53.625
-22.125, -53.375
-22.125, -53.125
-22.125, -52.875
-22.125, -52.625
-22.125, -52.375
-22.125, -52.125
-22.125, -51.875
-22.125, -51.625
-22.125, -51.375
-22.125, -51.125
-22.125, -50.875
-22.125, -50.625
-22.125, -50.375
-22.125, -50.125
-22.125, -49.875
-22.125, -49.625
-22.125, -49.375
-22.125, -49.125
-22.125, -48.875
-22.125, -48.625
-22.125, -48.375
-22.125, -48.125
-22.125, -47.875
-22.125, -47.625
-22.125, -47.375
-22.125, -47.125
-22.125, -46.875
-22.125, -46.625
-22.125, -46.375
-22.125, -46.125
-22.125, -45.875
-22.125, -45.625
-22.125, -45.375
-22.125, -45.125
-22.125, -44.875
-22.125, -44.625
-22.125, -44.375
-22.125, -44.125
-22.125, -43.875
-22.125, -43.625
-22.125, -43.375
-22.125, -43.125
-22.125, -42.875
-22.125, -42.625
-22.125, -42.375
-22.125, -42.125
-22.125, -41.875
-22.125, -41.625
-22.125, -41.375
-21.875, -58.875
-21.875, -58.625
-21.875, -58.375
-21.875, -58.125
-21.875, -57.875
-21.875, -57.625
-21.875, -57.375
-21.875, -57.125
-21.875, -56.875
-21.875, -56.625
-21.875, -56.375
-21.875, -56.125
-21.875, -55.875
-21.875, -55.625
-21.875, -55.375
-21.875, -55.125
-21.875, -54.875
-21.875, -54.625
-21.875, -54.375
-21.875, -54.125
-21.875, -53.875
-21.875, -53.625
-21.875, -53.375
-21.875, -53.125
-21.875, -52.875
-21.875, -52.625
-21.875, -52.375
-21.875, -52.125
-21.875, -51.875
-21.875, -51.625
-21.875, -51.375
-21.875, -51.125
-21.875, -50.875
-21.875, -50.625
-21.875, -50.375
-21.875, -50.125
-21.875, -49.875
-21.875, -49.625
-21.875, -49.375
-21.875, -49.125
-21.875, -48.875
-21.875, -48.625
-21.875, -48.375
-21.875, -48.125
-21.875, -47.875
-21.875, -47.625
-21.875, -47.375
-21.875, -47.125
-21.875, -46.875
-21.875, -46.625
-21.875, -46.375
-21.875, -46.125
-21.875, -45.875
-21.875, -45.625
-21.875, -45.375
-21.875, -45.125
-21.875, -44.875
-21.875, -44.625
-21.875, -44.375
-21.875, -44.125
-21.875, -43.875
-21.875, -43.625
-21.875, -43.375
-21.875, -43.125
-21.875, -42.875
-21.875, -42.625
-21.875, -42.375
-21.875, -42.125
-21.875, -41.875
-21.875, -41.625
-21.875, -41.375
